step,lr,train_loss,val_loss,elapsed_sec
0,0.0001,1.3208,1.2065,6.9
100,9.96452e-05,0.1601,0.1677,86.1
200,9.85862e-05,0.1241,0.1386,198.3
300,9.68399e-05,0.097,0.113,334.8
400,9.44338e-05,0.0854,0.0977,462.4
500,9.14058e-05,0.0764,0.0909,587.8
600,8.78036e-05,0.0657,0.0905,130.9
700,8.36841e-05,0.0686,0.0862,253.4
800,7.91122e-05,0.0546,0.0758,379.7
900,7.41601e-05,0.0508,0.0695,504.0
1000,6.89058e-05,0.0558,0.0643,632.0
1100,6.34322e-05,0.0413,0.0641,131.6
1200,5.78256e-05,0.0466,0.0632,260.2
1300,5.21744e-05,0.0379,0.0583,389.2
1400,4.65678e-05,0.0354,0.056,520.5
1500,4.10942e-05,0.0404,0.053,652.6
1600,3.58399e-05,0.031,0.0523,140.9
1700,3.08878e-05,0.0345,0.0462,274.1
1800,2.63159e-05,0.0276,0.0465,403.7
1900,2.21964e-05,0.0268,0.0472,536.1
2000,1.85942e-05,0.0311,0.0457,669.6
2100,1.55662e-05,0.0249,0.0458,132.4
2200,1.31601e-05,0.0275,0.0403,262.7
2300,1.14138e-05,0.0238,0.0416,396.2
2400,1.03548e-05,0.0221,0.0428,527.8
2500,1e-05,0.0273,0.0438,660.1
