step,lr,train_loss,val_loss,elapsed_sec
0,0.0001,1.3102,1.2958,6.6
100,9.96452e-05,0.1859,0.1963,84.2
200,9.85862e-05,0.1352,0.157,188.9
300,9.68399e-05,0.1086,0.1251,306.3
400,9.44338e-05,0.1091,0.098,431.9
500,9.14058e-05,0.0764,0.0887,559.1
600,8.78036e-05,0.0841,0.0913,133.0
700,8.36841e-05,0.0686,0.0884,270.5
800,7.91122e-05,0.0662,0.0926,403.2
900,7.41601e-05,0.0614,0.0694,542.2
1000,6.89058e-05,0.0482,0.0708,686.4
1100,6.34322e-05,0.0534,0.0623,156.4
1200,5.78256e-05,0.0452,0.0615,349.1
1300,5.21744e-05,0.0437,0.0639,525.8
1400,4.65678e-05,0.0421,0.051,687.1
1500,4.10942e-05,0.0336,0.0532,826.8
1600,3.58399e-05,0.0373,0.045,143.8
1700,3.08878e-05,0.0349,0.0472,284.3
1800,2.63159e-05,0.0314,0.0504,425.2
1900,2.21964e-05,0.0311,0.0434,565.8
2000,1.85942e-05,0.0254,0.0439,708.0
2100,1.55662e-05,0.0315,0.0373,145.6
2200,1.31601e-05,0.0292,0.0382,284.8
2300,1.14138e-05,0.0242,0.0431,423.2
2400,1.03548e-05,0.026,0.0409,571.9
2500,1e-05,0.023,0.0394,719.8
