step,lr,train_loss,val_loss,elapsed_sec
0,0.0001,10.1234,9.8507,7.8
100,9.96452e-05,0.7042,0.7104,168.6
200,9.85862e-05,0.4461,0.4462,355.9
300,9.68399e-05,0.3596,0.3716,84.9
400,9.44338e-05,0.2908,0.309,257.5
500,9.14058e-05,0.2334,0.2519,429.5
600,8.78036e-05,0.2013,0.2195,163.9
700,8.36841e-05,0.1847,0.2028,335.1
800,7.91122e-05,0.1634,0.1886,81.1
900,7.41601e-05,0.1264,0.1503,252.6
1000,6.89058e-05,0.0966,0.1177,424.2
1100,6.34322e-05,0.061,0.0857,160.0
1200,5.78256e-05,0.0471,0.0683,331.2
1300,5.21744e-05,0.0424,0.0626,77.6
1400,4.65678e-05,0.0345,0.0544,247.7
1500,4.10942e-05,0.0308,0.0578,418.5
1600,3.58399e-05,0.0282,0.0486,156.5
1700,3.08878e-05,0.027,0.047,327.1
1800,2.63159e-05,0.0276,0.0466,73.9
1900,2.21964e-05,0.0225,0.0471,243.9
2000,1.85942e-05,0.0223,0.0462,414.1
2100,1.55662e-05,0.0192,0.0401,152.3
2200,1.31601e-05,0.0204,0.0405,321.9
2300,1.14138e-05,0.0216,0.0423,71.1
2400,1.03548e-05,0.0176,0.0404,241.3
2500,1e-05,0.0165,0.0429,410.8
