step,lr,train_loss,val_loss,elapsed_sec
0,0.0001,10.1197,10.026,7.8
100,9.99112e-05,0.7582,0.76,142.7
200,9.96452e-05,0.4612,0.4599,338.8
300,9.92029e-05,0.3693,0.3716,93.1
400,9.85862e-05,0.3037,0.3078,288.7
500,9.77975e-05,0.2473,0.2567,488.4
600,9.68399e-05,0.2176,0.2201,193.8
700,9.57172e-05,0.1955,0.196,399.9
800,9.44338e-05,0.1578,0.1688,98.4
900,9.29948e-05,0.1125,0.1307,306.7
1000,9.14058e-05,0.0773,0.092,515.3
1100,8.96731e-05,0.0579,0.0763,197.2
1200,8.78036e-05,0.0513,0.0611,422.8
1300,8.58046e-05,0.0426,0.0589,96.9
1400,8.36841e-05,0.0374,0.058,314.9
1500,8.14503e-05,0.0372,0.0514,556.1
1600,7.91122e-05,0.0288,0.0519,196.7
1700,7.66789e-05,0.0295,0.0446,409.0
1800,7.41601e-05,0.0246,0.0418,93.0
1900,7.15656e-05,0.0247,0.0446,305.8
2000,6.89058e-05,0.0229,0.0352,518.2
2100,6.6191e-05,0.0184,0.039,191.5
2200,6.34322e-05,0.0178,0.035,404.2
2300,6.064e-05,0.0162,0.0329,90.1
2400,5.78256e-05,0.0154,0.03,304.2
2500,5.5e-05,0.0157,0.0304,517.3
2600,5.21744e-05,0.0138,0.0366,188.8
2700,4.936e-05,0.0129,0.0339,401.8
2800,4.65678e-05,0.0135,0.0334,86.2
2900,4.3809e-05,0.0105,0.0254,304.8
3000,4.10942e-05,0.0109,0.0268,527.6
3100,3.84344e-05,0.0108,0.032,187.4
3200,3.58399e-05,0.009,0.0288,402.8
3300,3.33211e-05,0.0113,0.0266,81.1
3400,3.08878e-05,0.0087,0.0249,295.3
3500,2.85497e-05,0.0089,0.029,508.8
3600,2.63159e-05,0.0091,0.027,181.0
3700,2.41954e-05,0.0076,0.0272,394.2
3800,2.21964e-05,0.0104,0.0281,77.6
3900,2.03269e-05,0.0063,0.0295,291.7
4000,1.85942e-05,0.0067,0.0265,505.2
4100,1.70052e-05,0.0077,0.0251,177.1
4200,1.55662e-05,0.0061,0.0258,394.7
4300,1.42828e-05,0.0095,0.0279,72.8
4400,1.31601e-05,0.0053,0.0277,286.6
4500,1.22025e-05,0.0058,0.027,499.8
4600,1.14138e-05,0.0065,0.0295,172.0
4700,1.07971e-05,0.0052,0.0268,386.6
4800,1.03548e-05,0.0095,0.0263,69.7
4900,1.00888e-05,0.0044,0.0271,282.7
5000,1e-05,0.0045,0.0247,495.7
