step,lr,train_loss,val_loss,elapsed_sec
0,0.0003,8.4213,8.4262,9.7
150,0.0003,4.3888,4.429,8162.3
300,0.0003,3.8253,3.7657,1190.4
450,0.000299941,3.4186,3.4031,370.9
600,0.000299766,3.1115,3.0787,394.8
750,0.000299473,2.8918,2.8365,388.1
900,0.000299064,2.6731,2.7303,385.0
1050,0.000298539,2.5585,2.4902,434.6
1200,0.000297898,2.4774,2.3482,393.3
1350,0.000297141,2.299,2.2926,379.3
1500,0.00029627,2.1521,2.2156,384.7
1650,0.000295285,2.1742,2.1153,377.8
1800,0.000294187,2.0502,2.0979,372.5
1950,0.000292977,2.1018,1.9355,368.8
2100,0.000291656,2.0796,1.99,365.8
2250,0.000290225,1.9729,1.9335,364.9
2400,0.000288685,1.9353,1.8986,368.4
2550,0.000287039,1.935,1.8488,371.0
2700,0.000285286,1.8573,1.8947,360.2
2850,0.000283429,1.8292,1.853,355.3
3000,0.000281469,1.8043,1.8504,385.8
3150,0.000279408,1.8332,1.791,371.0
3300,0.000277248,1.8823,1.8263,347.5
3450,0.000274991,1.7568,1.834,347.8
3600,0.000272638,1.7697,1.6946,348.9
3750,0.000270192,1.7434,1.7623,348.5
3900,0.000267655,1.7767,1.7174,345.5
4050,0.000265028,1.782,1.7687,344.6
4200,0.000262315,1.7168,1.7121,342.5
4350,0.000259518,1.6804,1.7115,339.3
4500,0.000256638,1.7156,1.641,343.6
4650,0.000253679,1.7012,1.7355,336.2
4800,0.000250643,1.6967,1.682,334.1
4950,0.000247533,1.6792,1.6345,334.0
5100,0.000244351,1.6635,1.6496,330.7
5250,0.0002411,1.6309,1.6547,321.8
5400,0.000237784,1.6623,1.587,309.2
5550,0.000234404,1.6573,1.7077,308.0
5700,0.000230964,1.6542,1.6401,297.5
5850,0.000227467,1.6261,1.6312,294.9
6000,0.000223915,1.571,1.5565,292.7
6150,0.000220313,1.6139,1.616,291.0
6300,0.000216662,1.5697,1.5687,287.4
6450,0.000212967,1.5418,1.6109,289.5
6600,0.00020923,1.5892,1.6159,285.6
6750,0.000205455,1.574,1.5728,283.2
6900,0.000201644,1.5389,1.541,276.5
7050,0.000197802,1.5703,1.5871,273.8
7200,0.000193932,1.5468,1.5693,270.2
7350,0.000190036,1.5592,1.5407,267.5
7500,0.000186119,1.5073,1.5111,265.3
7650,0.000182183,1.5257,1.556,266.1
7800,0.000178232,1.589,1.5583,259.2
7950,0.00017427,1.5405,1.5082,257.6
8100,0.0001703,1.4962,1.5327,254.9
8250,0.000166325,1.5058,1.4939,229.9
8400,0.000162349,1.5433,1.5011,239.3
8550,0.000158376,1.5024,1.5843,241.3
8700,0.000154408,1.477,1.5494,240.9
8850,0.000150449,1.5157,1.459,238.3
9000,0.000146503,1.4866,1.4868,236.6
9150,0.000142573,1.4449,1.5249,246.4
9300,0.000138663,1.5299,1.4647,234.5
9450,0.000134775,1.502,1.4617,232.5
9600,0.000130914,1.5453,1.5056,229.4
9750,0.000127082,1.4309,1.4756,226.9
9900,0.000123283,1.4712,1.5137,224.5
10050,0.00011952,1.4748,1.4681,221.7
10200,0.000115796,1.5321,1.4706,220.6
10350,0.000112116,1.4482,1.4345,219.1
10500,0.000108481,1.4072,1.448,213.6
10650,0.000104895,1.466,1.4291,211.2
10800,0.000101361,1.4177,1.4802,208.7
10950,9.7883e-05,1.444,1.4393,205.7
11100,9.44627e-05,1.4892,1.4358,202.8
11250,9.11036e-05,1.3915,1.4547,200.4
11400,8.78086e-05,1.4256,1.47,198.3
11550,8.45806e-05,1.4618,1.4564,199.1
11700,8.14223e-05,1.4247,1.4399,192.7
11850,7.83365e-05,1.4111,1.4713,189.7
12000,7.53259e-05,1.3991,1.4552,187.7
12150,7.23931e-05,1.4794,1.3942,185.0
12300,6.95406e-05,1.3796,1.3815,182.2
12450,6.67709e-05,1.4285,1.389,179.8
12600,6.40864e-05,1.4092,1.4526,177.3
12750,6.14894e-05,1.4352,1.4045,175.4
12900,5.89822e-05,1.3863,1.4408,171.1
13050,5.6567e-05,1.4332,1.4953,169.9
13200,5.42458e-05,1.4053,1.3924,166.7
13350,5.20207e-05,1.422,1.4019,168.5
13500,4.98936e-05,1.3496,1.3953,161.3
13650,4.78663e-05,1.3713,1.3937,158.6
13800,4.59406e-05,1.3699,1.4017,156.1
13950,4.41182e-05,1.3734,1.3749,153.8
14100,4.24007e-05,1.3496,1.4497,150.9
14250,4.07895e-05,1.3738,1.4197,148.0
14400,3.9286e-05,1.4249,1.4268,145.4
14550,3.78916e-05,1.3664,1.3795,144.6
14700,3.66074e-05,1.3635,1.3718,140.7
14850,3.54346e-05,1.3658,1.3951,137.6
15000,3.43741e-05,1.3901,1.4469,135.0
15150,3.3427e-05,1.3593,1.4224,131.5
15300,3.2594e-05,1.3651,1.3789,129.1
15450,3.18758e-05,1.38,1.3795,126.4
15600,3.12731e-05,1.3855,1.3942,123.5
15750,3.07864e-05,1.3434,1.3408,122.4
15900,3.04162e-05,1.4006,1.4349,118.3
16000,3.02341e-05,1.3666,1.3558,383.0
