iter,train_loss,val_loss,elapsed_sec
0,4.359631538391113,4.362154483795166,9.6
100,1.8060420751571655,1.8150676488876343,88.7
200,1.5680371522903442,1.5594449043273926,185.7
300,0.9402457475662231,0.9504972696304321,297.2
400,0.8359942436218262,0.8198778033256531,419.4
500,0.7318552732467651,0.732755720615387,542.5
600,0.6298768520355225,0.6307061314582825,79.2
700,0.5039008259773254,0.5174520611763,173.8
800,0.44717374444007874,0.46007925271987915,288.3
900,0.42217668890953064,0.44362106919288635,414.4
1000,0.40914902091026306,0.41924458742141724,561.0
1100,0.3951915204524994,0.4074404835700989,158.8
1200,0.3826439678668976,0.40022844076156616,302.3
1300,0.37343111634254456,0.38654449582099915,437.2
1400,0.3584347367286682,0.3761250972747803,598.6
1500,0.3518170118331909,0.3624761700630188,748.2
1600,0.34296637773513794,0.3543008267879486,139.0
1700,0.335910826921463,0.34991785883903503,275.0
1800,0.330862432718277,0.34374237060546875,413.9
1900,0.32988065481185913,0.3450951874256134,554.7
2000,0.3257509768009186,0.335123211145401,696.6
2100,0.31944596767425537,0.3308914303779602,132.6
2200,0.3179545998573303,0.33021339774131775,266.8
2300,0.3171662986278534,0.32880696654319763,403.7
2400,0.31518930196762085,0.3303067088127136,549.1
2500,0.31493788957595825,0.32486242055892944,683.6
2600,0.31048184633255005,0.3225722908973694,129.7
2700,0.3117409348487854,0.3239513039588928,266.0
2800,0.31245988607406616,0.3244921565055847,404.3
2900,0.3098360300064087,0.32608479261398315,543.1
3000,0.3112793564796448,0.32296523451805115,678.0
